REG_ANS;CNPJ;Razao_Social
419796;1,43721E+13;COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA
330051;4,79026E+13;COMPANHIA DE ENGENHARIA DE TRAFEGO - CET
416509;2,73165E+13;COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA
392405;2,81514E+13;COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO
334189;2,64617E+13;COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB
420247;2,39207E+13;COMPAR ADMINISTRADORA DE BENEFICIOS LTDA - ME
390259;7,00946E+13;COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA
424579;6,06626E+13;CONECTA ADMINISTRADORA DE BENEFICIOS LTDA
423220;4,54003E+13;CONECTAPLAN ADMINISTRADORA DE BENEFÍCIOS LTDA
321931;2,96406E+13;CONFERÊNCIA SÃO JOSÉ DO AVAÍ
410624;3,61386E+12;CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA
405931;6,05375E+13;CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA
418323;1,32863E+13;CONTEM ADMINISTRADORA DE PLANOS DE SAÚDE LTDA.
407241;2,29825E+12;COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO
367087;8,71585E+13;COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.
353477;1,04172E+12;COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL
418242;1,75009E+12;COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA
313084;2,50641E+13;COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA
318213;8,52469E+13;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO
337188;2,14906E+13;COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE
317012;8,51772E+13;COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA
419028;2,59067E+13;COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ
359459;2,72504E+12;COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE
404241;7,23504E+13;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA
406805;3,26862E+12;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.
400572;2,94718E+12;COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU
342335;1,5016E+12;COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL.
365785;2,25485E+12;COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ
409791;3,49403E+12;COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS
402010;4,91998E+11;COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO
353892;1,90527E+13;COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA.
418757;7,35055E+13;CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA 
418960;1,76709E+13;CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA
368181;1,90096E+13;CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA
397245;6,90993E+13;CROWN ODONTOLOGIA DE GRUPO LTDA
421952;3,38031E+13;CRZ PLANO ODONTOLÓGICO LTDA
422045;3,48244E+13;CTESK ADMINISTRADORA DE BENEFIÍCIOS LTDA
424242;5,62989E+13;CUIDE SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA.
416118;2,53137E+11;DANA INDUSTRIAS LTDA.
421081;2,78321E+13;DELFHI PLANOS ODONTOLÓGICOS LTDA
420239;2,46199E+13;DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA
